date,instrument,open,high,low,close,volume,amount
2020-03-02,000518.SZ,49.17268125534058,49.84283704757691,47.07844440460205,49.67529809951782,60311223,350413042.0
2020-03-03,000518.SZ,49.84283704757691,52.18838232040406,48.25121704101562,51.43445705413818,84005425,505450978.0
2020-03-02,600789.SH,33.85498329162598,33.85498329162598,31.60539047241211,33.43839202880859,106628163,1247869391.0
2020-03-04,000518.SZ,50.26168441772461,50.68053178787231,48.670064411163324,49.34022020339965,52738880,312100279.0
2020-03-03,600789.SH,33.049573516845705,35.49357559204101,32.54966400146485,34.66039306640625,146004186,1789811623.0
2020-03-05,000518.SZ,49.423989677429205,50.26168441772461,48.586294937133786,49.59152862548828,45285216,266725011.0
2020-03-04,600789.SH,33.327301025390625,34.04939254760742,32.60520950317383,33.29952827453614,91922409,1101867293.0
2020-03-05,600789.SH,33.52171028137207,33.79943778991699,32.82739151000977,33.49393753051758,78080608,937481467.0
2020-03-06,000518.SZ,49.67529809951782,51.60199600219727,49.67529809951782,50.512992839813236,67174725,407829953.0
2020-03-06,600789.SH,33.66057403564453,34.63262031555176,33.54948303222656,34.1327108001709,112029484,1380115315.0
2020-03-09,000518.SZ,50.26168441772461,55.53916128158569,50.26168441772461,54.86900548934936,145604009,927917469.0
2020-03-09,600789.SH,34.54930206298828,37.54875915527344,34.1049380493164,37.54875915527344,217781259,2848319488.0
2020-03-10,000518.SZ,52.2721517944336,52.355921268463135,49.423989677429205,51.183148632049566,100609813,604688331.0
2020-03-10,600789.SH,36.104576110839844,36.104576110839844,33.79943778991699,35.10475708007813,179981694,2267179233.0
2020-03-11,000518.SZ,50.17791494369507,50.76430126190185,48.25121704101562,49.08891178131104,57475272,339777477.0
2020-04-20,000518.SZ,41.21458122253418,41.465889644622806,40.04180858612061,41.0470422744751,22810944,111558443.0
2020-04-17,600789.SH,28.91143363952637,29.18916114807129,28.355978622436528,28.411524124145508,60487710,622724379.0
2020-04-20,600789.SH,28.16156936645508,28.71702438354492,28.022705612182616,28.522615127563476,38255833,391740642.0
2020-04-21,000518.SZ,40.96327280044555,41.0470422744751,40.209347534179685,40.46065595626831,20934800,101341454.0
2020-04-21,600789.SH,28.494842376708984,28.99475189208984,28.18934211730957,28.744797134399413,46186861,476838481.0
2020-04-22,000518.SZ,40.12557806015015,40.376886482238774,39.28788331985474,40.29311700820922,27777802,131881036.0
2020-04-22,600789.SH,28.383751373291016,28.439296875,27.60611434936523,28.0782511138916,53429712,537740313.0
2020-04-23,000518.SZ,40.46065595626831,43.56012649536133,40.29311700820922,42.30358438491821,79134362,400460909.0
2020-04-23,600789.SH,28.0782511138916,29.161388397216797,27.994932861328124,28.244887619018556,56431971,581347972.0
2020-04-24,000518.SZ,41.88473701477051,41.968506488800045,39.37165279388428,39.45542226791382,53755731,258569975.0
2020-04-27,000518.SZ,37.69626331329346,37.780032787322995,35.518256988525394,35.518256988525394,30625629,130933822.0
2020-04-24,600789.SH,27.91161460876465,27.939387359619143,26.439658813476562,26.578522567749026,61723136,601612455.0
2020-04-28,000518.SZ,31.999939079284665,33.84286750793457,31.999939079284665,33.256481189727786,48667379,190936618.0
2020-04-27,600789.SH,26.467431564331054,26.578522567749026,25.689794540405273,25.745340042114258,33536288,313296154.0
2020-04-29,000518.SZ,32.75386434555054,33.42402013778687,32.25124750137329,32.33501697540283,24665749,96612828.0
2020-04-28,600789.SH,25.66202178955078,25.995294799804686,23.856792984008788,24.551111755371092,39583483,352000368.0
2020-03-11,600789.SH,33.882756042480466,35.96571235656738,33.38284652709961,34.354892807006834,119143349,1479266293.0
2020-03-12,000518.SZ,48.25121704101562,49.67529809951782,45.40305492401123,46.07321071624756,49760644,281293853.0
2020-03-12,600789.SH,33.85498329162598,34.91034782409668,31.77202697753906,32.299709243774416,104639708,1251510324.0
2020-03-13,000518.SZ,42.38735385894775,44.06274333953857,41.88473701477051,43.05750965118408,42167556,215871194.0
2020-03-16,000518.SZ,44.397821235656735,46.40828861236572,43.308818073272704,43.56012649536133,46579777,248107915.0
2020-03-13,600789.SH,29.439115905761717,30.550025939941406,29.07807014465332,29.661297912597654,100849384,1080123440.0
2020-03-17,000518.SZ,43.225048599243166,43.308818073272704,39.62296121597291,41.54965911865234,35866634,176184768.0
2020-03-16,600789.SH,30.411162185668942,31.910890731811524,29.966798171997066,30.161207427978514,98416481,1092000742.0
2020-03-18,000518.SZ,43.81143491744996,44.64912965774536,41.88473701477051,42.806201229095464,43128586,222762834.0
2020-03-17,600789.SH,29.744616165161137,29.966798171997066,27.217295837402347,28.55038787841797,79410749,808741559.0
2020-03-19,000518.SZ,41.0470422744751,42.136045436859135,40.29311700820922,41.71719806671143,31820808,156473760.0
2020-03-18,600789.SH,29.022524642944333,29.8557071685791,27.717205352783203,27.772750854492188,69569421,719855539.0
2020-03-19,600789.SH,27.439477844238283,27.772750854492188,26.18970405578613,27.27284133911133,70240504,684197685.0
2020-03-20,000518.SZ,41.88473701477051,42.21981491088867,40.62819490432739,41.63342859268188,27771035,137744104.0
2020-03-20,600789.SH,27.383932342529295,27.883841857910152,26.884022827148435,27.633887100219724,58267226,576397598.0
2020-03-23,000518.SZ,41.0470422744751,42.4711233329773,40.29311700820922,40.46065595626831,25819309,127372719.0
2020-03-23,600789.SH,27.30061408996582,28.828115386962892,27.133977584838867,27.772750854492188,76324118,771947429.0
2020-04-30,000518.SZ,32.50255592346191,34.34548435211181,32.50255592346191,34.010406455993646,28421742,113077498.0
2020-04-29,600789.SH,24.551111755371092,24.80106651306152,23.99565673828125,24.1622932434082,25524013,223669353.0
2020-04-30,600789.SH,23.60683822631836,24.578884506225585,23.467974472045896,24.41224800109863,33687387,292663481.0
2020-05-06,000518.SZ,33.507789611816406,35.09940961837769,33.17271171569824,35.09940961837769,25721078,106310406.0
2020-05-06,600789.SH,24.051202239990236,24.939930267333985,23.940111236572264,24.80106651306152,26365386,233792923.0
2020-05-07,000518.SZ,35.01564014434814,36.020873832702634,34.9318706703186,35.09940961837769,25638765,108387465.0
2020-05-07,600789.SH,24.939930267333985,25.217657775878905,24.5233390045166,24.578884506225585,27694052,247121451.0
2020-05-08,000518.SZ,35.09940961837769,35.937104358673096,35.09940961837769,35.60202646255493,20493013,87063260.0
2020-05-08,600789.SH,24.662202758789064,24.99547576904297,24.551111755371092,24.856612014770505,27429372,244200917.0
2020-05-11,000518.SZ,35.76956541061401,36.3559517288208,34.848101196289065,35.85333488464356,29030780,123220774.0
2020-05-12,000518.SZ,35.68579593658447,36.10464330673217,34.9318706703186,35.518256988525394,16362602,69276018.0
2020-05-11,600789.SH,24.856612014770505,25.189885025024417,24.5233390045166,24.99547576904297,37407194,335221202.0
2020-05-13,000518.SZ,36.020873832702634,36.94233804702759,35.76956541061401,35.937104358673096,27506198,118735125.0
2020-05-12,600789.SH,24.967703018188477,25.27320327758789,24.689975509643556,24.828839263916013,26272262,236140294.0
2020-05-14,000518.SZ,35.60202646255493,35.937104358673096,35.01564014434814,35.60202646255493,17942321,76267534.0
2020-05-13,600789.SH,24.856612014770505,25.217657775878905,24.5233390045166,25.051021270751953,28762688,258293882.0
2020-05-15,000518.SZ,36.020873832702634,36.020873832702634,34.9318706703186,35.18317909240723,15005420,63137464.0
2020-05-14,600789.SH,24.939930267333985,24.967703018188477,24.38447525024414,24.41224800109863,26887249,238670661.0
2020-06-09,600789.SH,23.41242897033691,24.023429489135744,23.218019714355467,24.023429489135744,42507204,363604274.0
2020-06-10,000518.SZ,33.75909803390503,34.34548435211181,33.42402013778687,34.26171487808227,22342626,90844214.0
2020-06-10,600789.SH,23.773474731445315,24.273384246826172,23.690156478881836,24.1900659942627,37590761,324600899.0
2020-06-11,000518.SZ,34.26171487808227,34.26171487808227,33.507789611816406,33.591559085845944,16089293,64973690.0
2020-06-11,600789.SH,24.1622932434082,24.1622932434082,23.35688346862793,23.467974472045896,30798426,263637020.00000003
2020-06-12,000518.SZ,32.92140329360962,34.9318706703186,32.670094871520995,34.42925382614136,35218893,144584597.0
2020-06-12,600789.SH,22.82920120239258,24.551111755371092,22.718110198974607,24.078974990844728,50190344,434277774.0
2020-06-15,000518.SZ,35.85333488464356,37.86380226135253,35.350718040466305,37.86380226135253,97169945,423107620.0
2020-06-16,000518.SZ,37.19364646911622,37.19364646911622,35.26694856643677,36.020873832702634,79796865,342549312.0
2020-06-15,600789.SH,24.99547576904297,26.495204315185543,24.551111755371092,26.495204315185543,127394298,1174302057.0
2020-06-17,000518.SZ,36.020873832702634,39.28788331985474,35.518256988525394,37.86380226135253,116618662,524952277.0
2020-06-16,600789.SH,26.634068069458007,26.634068069458007,25.412067031860353,25.689794540405273,89203000,829898823.0
2020-06-18,000518.SZ,37.109876995086665,37.19364646911622,35.68579593658447,36.52349067687989,71367366,308915292.0
2020-06-17,600789.SH,26.023067550659178,28.18934211730957,26.023067550659178,27.189523086547847,127053766,1252477183.0
2020-06-19,000518.SZ,35.85333488464356,36.69102962493896,34.9318706703186,35.26694856643677,50371292,212532530.0
2020-06-18,600789.SH,27.078432083129883,27.16175033569336,25.967522048950194,26.467431564331054,71853776,682640307.0
2020-06-19,600789.SH,26.050840301513674,26.106385803222658,25.30097602844238,25.523158035278318,54588679,501600855.0
2020-05-15,600789.SH,24.46779350280762,24.606657257080077,24.106747741699216,24.1622932434082,25029371,218918251.0
2020-05-18,000518.SZ,35.09940961837769,35.26694856643677,33.92663698196411,34.59679277420044,16410686,67737688.0
2020-05-18,600789.SH,24.1622932434082,24.301156997680664,23.717929229736324,23.773474731445315,22665958,195134676.0
2020-05-19,000518.SZ,35.09940961837769,35.518256988525394,34.177945404052736,34.5130233001709,15534735,64379118.0
2020-05-19,600789.SH,24.023429489135744,24.24561149597168,23.60683822631836,23.801247482299807,21575665,185245038.0
2020-05-20,000518.SZ,34.59679277420044,34.76433172225953,33.591559085845944,34.42925382614136,18863329,77068147.0
2020-05-20,600789.SH,23.745701980590823,24.99547576904297,23.60683822631836,24.662202758789064,50015066,438261841.0
2020-05-21,000518.SZ,34.177945404052736,34.42925382614136,33.42402013778687,33.591559085845944,16779481,67888803.0
2020-05-22,000518.SZ,33.340250663757324,33.591559085845944,32.16747802734375,32.75386434555054,15334169,59927440.0
2020-05-21,600789.SH,24.5233390045166,24.5233390045166,23.60683822631836,23.63461097717285,34345303,297546036.0
2020-05-25,000518.SZ,32.670094871520995,33.84286750793457,32.50255592346191,33.67532855987548,15096700,60105559.0
2020-05-22,600789.SH,23.440201721191404,23.440201721191404,22.329291687011715,22.46815544128418,33833534,277799713.0
2020-05-26,000518.SZ,33.507789611816406,34.177945404052736,33.17271171569824,33.84286750793457,18308190,73524495.0
2020-05-25,600789.SH,22.301518936157226,22.940292205810547,22.21820068359375,22.551473693847655,17023388,138584842.0
2020-05-27,000518.SZ,33.507789611816406,33.84286750793457,32.75386434555054,33.088942241668704,14837490,58833899.0
2020-05-26,600789.SH,22.607019195556642,23.05138320922852,22.523700942993162,22.884746704101563,17290988,142081705.0
2020-05-27,600789.SH,22.80142845153809,22.940292205810547,22.357064437866214,22.440382690429686,17114246,139276672.0
2020-03-24,000518.SZ,40.71196437835694,40.879503326416014,38.03134120941162,39.539191741943355,32400203,152584283.0
2020-03-25,000518.SZ,39.95803911209106,41.298350696563716,39.45542226791382,41.0470422744751,31456044,151527788.0
2020-03-24,600789.SH,27.55056884765625,27.633887100219724,25.995294799804686,26.93956832885742,63933582,619210683.0
2020-03-26,000518.SZ,40.46065595626831,42.21981491088867,40.04180858612061,41.968506488800045,47274943,234102799.0
2020-03-25,600789.SH,27.217295837402347,28.0782511138916,26.856250076293946,27.967160110473635,68114770,676742204.0
2020-03-27,000518.SZ,41.968506488800045,41.968506488800045,40.46065595626831,40.54442543029785,29769533,145849324.0
2020-03-26,600789.SH,27.60611434936523,29.911252670288086,27.52279609680176,29.105842895507813,101044883,1040936912.0
2020-03-30,000518.SZ,40.209347534179685,41.13081174850464,38.869035949707026,38.95280542373658,22889100,108809521.0
2020-03-27,600789.SH,28.93920639038086,29.244706649780273,27.939387359619143,28.133796615600588,63832452,655879092.0
2020-03-30,600789.SH,27.55056884765625,28.800342636108397,27.30061408996582,27.383932342529295,50581179,509780261.0
2020-03-31,000518.SZ,39.45542226791382,39.62296121597291,38.366419105529786,38.53395805358886,17200696,79531481.0
2020-03-31,600789.SH,27.60611434936523,27.60611434936523,26.578522567749026,26.606295318603514,44889388,435220368.0
2020-04-01,000518.SZ,37.947571735382084,39.20411384582519,37.19364646911622,38.28264963150025,19569517,89145877.0
2020-04-01,600789.SH,26.384113311767578,27.217295837402347,25.967522048950194,26.495204315185543,42422734,405106716.0
2020-04-02,000518.SZ,37.780032787322995,38.78526647567749,37.277415943145755,38.61772752761841,22257242,100898323.0
2020-04-02,600789.SH,26.217476806640622,26.800704574584962,25.63424903869629,26.800704574584962,45511509,430346622.0
2020-04-03,000518.SZ,38.28264963150025,39.79050016403198,38.28264963150025,39.036574897766116,28608475,133897449.0
2020-07-30,000518.SZ,46.91090545654296,48.670064411163324,45.654363346099856,48.670064411163324,240009936,1363747225.0
2020-07-29,600789.SH,28.02427475452423,30.282947645187377,27.9685050535202,29.36274757862091,82383120,867597896.0
2020-07-31,000518.SZ,46.91090545654296,53.528693904876704,46.240749664306634,53.528693904876704,194639572,1178283221.0
2020-07-30,600789.SH,29.08389907360077,30.199293093681337,28.860820269584654,28.91658997058868,86517882,914718900.0
2020-08-03,000518.SZ,56.87947286605835,58.88994024276734,54.115080223083496,54.9527749633789,238141962,1615210115.0
2020-07-31,600789.SH,28.721396017074586,30.087753691673278,28.247353558540347,29.725250635147095,83563631,875772481.0
2020-08-04,000518.SZ,53.19361600875854,59.89517393112183,50.93184020996094,57.717167606353755,246254101,1636667238.0
2020-08-03,600789.SH,29.808905186653135,30.45025674819946,29.36274757862091,30.199293093681337,84633341,912021152.0
2020-08-05,000518.SZ,53.86377180099487,56.71193391799926,51.93707389831543,53.444924430847166,178223499,1145908906.0
2020-08-04,600789.SH,29.920444588661194,30.199293093681337,28.69351116657257,28.80505056858063,71162323,748743045.0
2020-08-05,600789.SH,28.69351116657257,28.83293541908264,28.02427475452423,28.665626316070554,40971118,418367186.0
2020-08-06,000518.SZ,52.355921268463135,53.444924430847166,49.08891178131104,49.84283704757691,134329173,811536565.0
2020-08-06,600789.SH,28.554086914062502,28.9444748210907,27.88485050201416,28.135814156532287,39885593,403683209.0
2020-08-07,000518.SZ,49.256450729370115,52.355921268463135,49.00514230728149,50.93184020996094,102534112,619320753.0
2020-08-07,600789.SH,28.303123259544375,28.80505056858063,27.661771697998045,28.414662661552427,42807418,433572036.0
2020-08-10,000518.SZ,50.26168441772461,50.26168441772461,47.83236967086792,48.167447566986084,79057955,457246438.0
2020-06-22,000518.SZ,35.01564014434814,35.60202646255493,34.59679277420044,35.60202646255493,39730320,166274072.0
2020-06-22,600789.SH,25.606476287841797,26.18970405578613,25.30097602844238,26.078613052368166,53583238,495809265.0
2020-06-23,000518.SZ,35.26694856643677,35.434487514495856,34.848101196289065,35.01564014434814,21166921,88672002.0
2020-06-23,600789.SH,25.800885543823238,25.967522048950194,25.439839782714845,25.495385284423826,34573633,319816503.0
2020-06-24,000518.SZ,35.18317909240723,35.18317909240723,34.59679277420044,34.680562248229975,17941786,74368326.0
2020-06-24,600789.SH,25.55093078613281,25.717567291259765,24.71774826049805,24.856612014770505,34731003,312770847.0
2020-06-29,000518.SZ,34.680562248229975,35.26694856643677,34.5130233001709,34.848101196289065,18849168,78579742.0
2020-06-29,600789.SH,24.856612014770505,25.412067031860353,24.80106651306152,25.189885025024417,30489790,276338798.0
2020-06-30,000518.SZ,34.76433172225953,35.01564014434814,34.5130233001709,34.848101196289065,20690093,85841502.0
2020-07-01,000518.SZ,34.680562248229975,34.9318706703186,34.177945404052736,34.5130233001709,26738254,110251311.0
2020-06-30,600789.SH,25.467612533569337,25.745340042114258,25.051021270751953,25.467612533569337,34523857,316874220.0
2020-07-02,000518.SZ,34.177945404052736,34.680562248229975,33.84286750793457,34.680562248229975,25235206,103490672.0
2020-07-01,600789.SH,25.35652153015137,25.66202178955078,25.02324851989746,25.189885025024417,32685715,297240438.0
2020-07-03,000518.SZ,34.59679277420044,35.434487514495856,34.42925382614136,35.18317909240723,38004774,158773941.0
2020-07-02,600789.SH,25.189885025024417,25.35652153015137,24.967703018188477,25.27320327758789,31204114,283378857.0
2020-07-06,000518.SZ,35.26694856643677,36.439721202850336,35.09940961837769,36.3559517288208,60024386,256642935.0
2020-07-03,600789.SH,25.245430526733397,25.995294799804686,25.106566772460933,25.828658294677737,52313234,482803138.0
2020-05-28,000518.SZ,32.92140329360962,33.17271171569824,31.916169605255128,32.33501697540283,14978000,57948648.0
2020-05-28,600789.SH,22.49592819213867,22.69033744812012,21.857154922485353,22.07933692932129,21459659,171669854.0
2020-05-29,000518.SZ,32.25124750137329,32.83763381958008,32.16747802734375,32.50255592346191,10229830,39698876.0
2020-05-29,600789.SH,22.21820068359375,23.13470146179199,22.162655181884766,22.662564697265626,33016512,270543117.0
2020-06-01,000518.SZ,32.50255592346191,34.0941759300232,32.50255592346191,33.92663698196411,23853809,95272453.0
2020-06-01,600789.SH,22.85697395324707,23.35688346862793,22.662564697265626,23.218019714355467,33891099,281945333.0
2020-06-02,000518.SZ,34.34548435211181,34.42925382614136,33.42402013778687,33.92663698196411,16056626,64862265.0
2020-06-03,000518.SZ,34.26171487808227,35.01564014434814,33.75909803390503,33.92663698196411,25704739,105584374.0
2020-06-02,600789.SH,23.190246963500975,23.440201721191404,22.96806495666504,23.32911071777344,26760421,223855197.0
2020-06-04,000518.SZ,33.84286750793457,34.177945404052736,33.256481189727786,33.67532855987548,15197341,61039282.0
2020-06-03,600789.SH,23.467974472045896,23.99565673828125,23.301337966918947,23.32911071777344,38598842,328510657.0
2020-06-05,000518.SZ,33.591559085845944,33.84286750793457,33.088942241668704,33.507789611816406,10781290,42943110.0
2020-06-04,600789.SH,23.32911071777344,23.60683822631836,23.07915596008301,23.35688346862793,23725618,198931948.0
2020-06-08,000518.SZ,33.591559085845944,34.34548435211181,33.42402013778687,33.84286750793457,16875252,68131721.0
2020-06-05,600789.SH,23.41242897033691,23.495747222900395,22.96806495666504,23.07915596008301,15888940,132461622.0
2020-06-08,600789.SH,23.190246963500975,23.829020233154296,23.02361045837402,23.440201721191404,28693554,242110193.0
2020-06-09,000518.SZ,33.591559085845944,33.84286750793457,33.256481189727786,33.75909803390503,12714813,50930905.0
2020-04-07,000518.SZ,39.706730690002445,41.465889644622806,38.70149700164795,40.795733852386476,40708496,196133356.0
2020-04-03,600789.SH,26.911795578002927,27.60611434936523,26.68961357116699,27.27284133911133,60144389,587974558.0
2020-04-08,000518.SZ,40.376886482238774,41.80096754074097,39.79050016403198,40.879503326416014,38844964,189632290.0
2020-04-07,600789.SH,27.57834159851074,28.99475189208984,27.078432083129883,28.383751373291016,80620150,818243728.0
2020-04-09,000518.SZ,41.0470422744751,43.308818073272704,40.54442543029785,41.88473701477051,55453579,277460706.0
2020-04-08,600789.SH,28.133796615600588,29.105842895507813,27.80052360534668,28.439296875,74830417,767648966.0
2020-04-09,600789.SH,28.494842376708984,31.105480957031247,28.217114868164064,30.022343673706057,116588021,1252889551.0
2020-04-10,000518.SZ,41.21458122253418,42.806201229095464,40.376886482238774,40.46065595626831,41146843,204105414.0
2020-04-10,600789.SH,29.439115905761717,29.57797966003418,28.217114868164064,28.32820587158203,85649114,893041843.0
2020-04-13,000518.SZ,39.95803911209106,41.54965911865234,39.45542226791382,40.795733852386476,27087801,132101986.0
2020-04-13,600789.SH,28.050478363037108,29.133615646362305,27.82829635620117,28.744797134399413,51499947,531647861.00000006
2020-04-14,000518.SZ,40.54442543029785,41.80096754074097,39.79050016403198,41.298350696563716,28154602,137060077.0
2020-04-14,600789.SH,28.467069625854492,28.99475189208984,27.772750854492188,28.605933380126956,49222940,503105110.0
2020-04-15,000518.SZ,41.21458122253418,43.56012649536133,41.13081174850464,42.889970703125,69489093,352031273.0
2020-04-16,000518.SZ,42.889970703125,43.39258754730224,41.71719806671143,42.38735385894775,56095541,285430821.0
2020-04-15,600789.SH,28.494842376708984,30.96661720275879,28.411524124145508,29.994570922851565,119534711,1281611919.0
2020-04-17,000518.SZ,42.136045436859135,42.21981491088867,40.62819490432739,40.96327280044555,39168723,193362853.0
2020-04-16,600789.SH,29.411343154907225,29.939025421142578,28.96697914123535,29.21693389892578,79674011,842260647.0
2020-08-10,600789.SH,28.442547512054443,28.442547512054443,27.88485050201416,28.191583857536315,27695223,279488059.0
2020-08-11,000518.SZ,47.91613914489746,48.83760335922241,46.156980190277096,46.40828861236572,65454334,369360848.0
